Category: All categories

Month,game stocks: (United States)
2004-01,27
2004-02,0
2004-03,0
2004-04,13
2004-05,0
2004-06,0
2004-07,25
2004-08,11
2004-09,0
2004-10,0
2004-11,11
2004-12,20
2005-01,18
2005-02,0
2005-03,8
2005-04,36
2005-05,31
2005-06,8
2005-07,8
2005-08,15
2005-09,29
2005-10,13
2005-11,20
2005-12,7
2006-01,6
2006-02,36
2006-03,21
2006-04,28
2006-05,27
2006-06,11
2006-07,5
2006-08,10
2006-09,10
2006-10,23
2006-11,14
2006-12,14
2007-01,0
2007-02,17
2007-03,19
2007-04,19
2007-05,11
2007-06,7
2007-07,7
2007-08,17
2007-09,23
2007-10,15
2007-11,12
2007-12,9
2008-01,25
2008-02,26
2008-03,17
2008-04,32
2008-05,30
2008-06,6
2008-07,19
2008-08,5
2008-09,18
2008-10,25
2008-11,15
2008-12,32
2009-01,7
2009-02,38
2009-03,22
2009-04,18
2009-05,9
2009-06,16
2009-07,4
2009-08,16
2009-09,15
2009-10,21
2009-11,10
2009-12,16
2010-01,15
2010-02,26
2010-03,24
2010-04,19
2010-05,12
2010-06,8
2010-07,5
2010-08,7
2010-09,15
2010-10,16
2010-11,20
2010-12,25
2011-01,22
2011-02,24
2011-03,27
2011-04,24
2011-05,17
2011-06,11
2011-07,11
2011-08,6
2011-09,14
2011-10,30
2011-11,12
2011-12,12
2012-01,12
2012-02,21
2012-03,14
2012-04,14
2012-05,14
2012-06,10
2012-07,10
2012-08,4
2012-09,12
2012-10,18
2012-11,13
2012-12,9
2013-01,9
2013-02,31
2013-03,22
2013-04,16
2013-05,21
2013-06,7
2013-07,8
2013-08,7
2013-09,20
2013-10,23
2013-11,24
2013-12,15
2014-01,23
2014-02,36
2014-03,20
2014-04,13
2014-05,20
2014-06,7
2014-07,11
2014-08,6
2014-09,16
2014-10,26
2014-11,23
2014-12,23
2015-01,23
2015-02,28
2015-03,29
2015-04,25
2015-05,23
2015-06,9
2015-07,8
2015-08,11
2015-09,20
2015-10,33
2015-11,28
2015-12,9
2016-01,10
2016-02,27
2016-03,23
2016-04,12
2016-05,13
2016-06,10
2016-07,5
2016-08,8
2016-09,18
2016-10,24
2016-11,22
2016-12,16
2017-01,17
2017-02,35
2017-03,20
2017-04,18
2017-05,14
2017-06,8
2017-07,11
2017-08,15
2017-09,15
2017-10,27
2017-11,24
2017-12,17
2018-01,16
2018-02,28
2018-03,19
2018-04,21
2018-05,13
2018-06,11
2018-07,8
2018-08,10
2018-09,15
2018-10,30
2018-11,16
2018-12,20
2019-01,15
2019-02,28
2019-03,21
2019-04,19
2019-05,13
2019-06,10
2019-07,10
2019-08,8
2019-09,14
2019-10,15
2019-11,17
2019-12,14
2020-01,22
2020-02,26
2020-03,37
2020-04,22
2020-05,15
2020-06,19
2020-07,16
2020-08,12
2020-09,15
2020-10,16
2020-11,17
2020-12,26
2021-01,100
2021-02,64
2021-03,27
2021-04,12
2021-05,17
2021-06,19
2021-07,10
2021-08,12
2021-09,16
2021-10,11
2021-11,14
2021-12,12
2022-01,15
2022-02,18
