Date,Open,High,Low,Close,Adj Close,Volume
2002-02-11,9.625000,10.195000,9.525000,9.950000,6.699337,23906800
2002-02-18,9.900000,9.925000,9.375000,9.675000,6.514179,6201400
2002-02-25,9.650000,9.850000,9.490000,9.685000,6.520912,3742800
2002-03-04,9.725000,10.500000,9.580000,10.450000,7.035985,3061000
2002-03-11,10.400000,10.950000,9.950000,10.175000,6.850830,4937400
2002-03-18,10.200000,10.200000,8.500000,9.650000,6.497347,5398600
2002-03-25,9.750000,10.500000,9.590000,10.100000,6.800333,3118000
2002-04-01,10.025000,10.025000,9.175000,9.245000,6.224659,1536600
2002-04-08,9.300000,9.600000,8.885000,9.125000,6.143862,2275800
2002-04-15,9.100000,10.175000,9.095000,10.135000,6.823896,1941200
2002-04-22,10.075000,10.125000,9.585000,9.625000,6.480515,1510800
2002-04-29,9.575000,10.495000,9.350000,10.400000,7.002321,3727000
2002-05-06,10.395000,11.715000,10.395000,11.030000,7.426502,1200200
2002-05-13,11.035000,11.200000,9.925000,10.615000,7.147081,5338800
2002-05-20,10.615000,11.850000,10.150000,11.730000,7.897809,3106200
2002-05-27,11.775000,12.150000,11.575000,12.095000,8.143564,3365000
2002-06-03,12.095000,12.095000,11.280000,11.475000,7.726119,2164600
2002-06-10,11.475000,11.650000,10.675000,11.255000,7.577993,931400
2002-06-17,11.300000,11.725000,10.450000,10.500000,7.069650,907000
2002-06-24,10.500000,10.660000,9.180000,10.495000,7.066285,2479200
2002-07-01,10.450000,10.495000,8.625000,9.505000,6.399718,1351800
2002-07-08,9.550000,10.215000,8.785000,8.845000,5.955339,2309000
2002-07-15,8.835000,8.835000,7.150000,7.890000,5.312338,2890000
2002-07-22,7.860000,8.850000,7.495000,8.770000,5.904844,1637400
2002-07-29,8.780000,9.200000,7.425000,7.550000,5.083415,1135200
2002-08-05,7.550000,8.000000,6.925000,7.625000,5.133913,2459000
2002-08-12,7.620000,9.900000,7.600000,9.465000,6.372787,2760600
2002-08-19,9.465000,10.750000,9.350000,9.875000,6.648838,3379600
2002-08-26,9.880000,10.995000,9.865000,10.400000,7.002321,2140600
2002-09-02,10.400000,10.400000,9.215000,9.805000,6.601709,1506600
2002-09-09,9.825000,10.540000,9.300000,9.800000,6.598343,1294000
2002-09-16,9.805000,10.435000,9.800000,10.025000,6.749832,1274400
2002-09-23,10.030000,11.075000,9.325000,10.640000,7.163915,1956600
2002-09-30,10.640000,10.700000,9.250000,9.655000,6.500713,2633600
2002-10-07,9.550000,9.640000,8.635000,9.285000,6.251591,2009800
2002-10-14,9.235000,10.445000,9.175000,10.175000,6.850830,1592200
2002-10-21,10.180000,10.500000,9.100000,10.175000,6.850830,3431200
2002-10-28,10.250000,10.250000,8.590000,8.815000,5.935141,4726600
2002-11-04,8.940000,9.490000,8.515000,8.515000,5.733151,1893200
2002-11-11,8.550000,10.200000,8.450000,10.085000,6.790233,2910600
2002-11-18,10.450000,10.475000,8.800000,9.250000,6.228025,5601600
2002-11-25,9.350000,9.575000,9.030000,9.300000,6.261691,1341200
2002-12-02,9.500000,9.875000,9.130000,9.610000,6.470414,2634000
2002-12-09,9.300000,9.360000,7.900000,7.900000,5.319072,3361800
2002-12-16,8.000000,8.145000,4.510000,4.735000,3.188077,21824600
2002-12-23,4.720000,4.795000,4.460000,4.675000,3.147678,5292400
2002-12-30,4.625000,4.985000,4.595000,4.935000,3.322736,2528400
2003-01-06,5.150000,5.440000,4.875000,5.190000,3.494428,5688800
2003-01-13,5.300000,5.355000,4.365000,4.775000,3.215008,5543600
2003-01-20,4.725000,4.950000,4.535000,4.705000,3.167878,3586400
2003-01-27,4.660000,4.725000,4.250000,4.250000,2.861526,4773400
2003-02-03,4.300000,4.405000,3.910000,3.960000,2.666268,3584400
2003-02-10,3.910000,4.125000,3.750000,4.115000,2.770630,3963200
